user_id,isLike,uni_id,academic_encode,personality_encode,major_id_encode,block_encode
63,4,32,0,29,101,0
63,4,32,0,29,106,0
64,4,32,1,3,101,0
64,3,32,1,3,99,0
65,4,32,1,3,101,0
65,4,32,1,3,0,3
65,3,84,1,3,125,3
66,4,89,3,13,47,0
66,3,89,3,13,48,3
66,3,89,3,13,52,3
67,4,55,0,17,19,0
67,3,55,0,17,23,0
68,3,32,3,3,101,0
68,4,32,3,3,99,0
69,4,32,0,3,101,0
69,3,32,0,3,106,0
69,4,32,0,3,99,0
70,4,89,3,3,47,3
70,4,89,3,3,52,3
71,4,66,1,3,110,1
71,3,55,1,3,17,1
71,2,55,1,3,55,1
72,4,32,1,3,101,0
72,4,32,1,3,106,0
72,3,32,1,3,99,0
73,4,32,1,3,101,0
73,4,32,1,3,99,10
74,4,89,0,2,47,3
74,3,89,0,2,53,3
74,4,89,0,2,52,3
75,3,32,1,6,99,10
76,4,32,2,1,101,0
76,3,32,2,1,99,10
76,3,62,2,1,39,0
77,4,75,0,3,6,0
77,4,75,0,3,8,7
77,3,75,0,3,7,1
78,3,62,2,7,39,0
78,3,62,2,7,40,0
79,4,55,2,20,54,0
79,4,55,2,20,22,0
79,3,62,2,20,54,0
79,2,62,2,20,0,7
80,4,55,1,20,22,0
80,4,55,1,20,54,0
80,3,62,1,20,54,0
81,4,17,2,15,88,0
81,4,17,2,15,90,3
81,3,17,2,15,89,0
81,4,17,2,15,87,3
82,4,15,0,19,30,0
82,4,15,0,19,31,0
82,4,15,0,19,29,0
82,4,55,0,19,31,0
82,3,15,0,19,22,0
82,3,55,0,19,22,0
83,4,41,3,3,50,0
83,3,41,3,3,0,0
83,3,41,3,3,0,0
83,3,41,3,3,38,3
84,3,17,4,23,88,0
84,2,17,4,23,87,0
84,4,62,4,23,54,7
85,3,17,1,7,91,0
85,2,17,1,7,93,0
85,3,17,1,7,92,0
86,4,49,1,6,114,1
86,3,49,1,6,116,1
86,4,49,1,6,117,1
86,3,49,1,6,118,1
86,3,55,1,6,54,0
86,2,62,1,6,54,0
87,4,55,1,13,41,0
87,4,55,1,13,35,0
87,4,55,1,13,22,0
87,4,55,1,13,54,0
87,2,62,1,13,54,0
88,3,32,1,16,101,0
88,2,9,1,16,39,0
89,3,34,0,25,64,1
89,3,32,0,25,101,1
90,4,32,1,14,101,0
90,3,32,1,14,99,0
91,3,32,1,24,69,0
91,2,32,1,24,119,1
92,3,66,1,17,109,9
92,3,32,1,17,129,7
93,3,66,1,4,0,0
93,3,32,1,4,59,3
94,3,55,1,1,54,1
94,3,55,1,1,18,1
95,3,32,0,0,107,0
95,3,34,0,0,62,0
95,3,42,0,0,39,0
95,3,39,0,0,39,0
96,4,66,3,7,109,7
96,1,62,3,7,31,8
97,3,66,3,0,0,0
97,2,83,3,0,126,1
98,4,65,0,5,14,7
98,3,66,0,5,110,8
99,3,55,0,31,33,1
99,2,15,0,31,22,7
100,2,84,2,3,123,0
100,4,75,2,3,94,0
101,2,66,3,26,111,1
101,4,83,3,26,0,7
102,3,55,0,2,26,0
102,3,66,0,2,109,0
103,4,32,0,19,70,1
103,3,32,0,19,120,1
103,3,34,0,19,63,1
104,4,34,0,3,61,0
104,3,32,0,3,101,0
105,2,32,2,10,72,0
105,2,32,2,10,69,0
106,2,22,1,27,28,6
106,2,55,1,27,22,6
107,3,87,0,3,46,0
107,2,44,0,3,45,0
108,3,32,0,2,58,0
108,3,47,0,2,113,0
109,3,84,0,3,124,0
109,3,40,0,3,22,0
110,2,87,1,1,45,0
110,2,22,1,1,32,0
111,2,87,0,2,45,0
111,2,15,0,2,31,0
112,3,87,1,13,45,1
112,2,32,1,13,69,1
113,4,43,0,3,82,4
113,3,43,0,3,82,4
114,4,55,1,27,22,7
114,4,55,1,27,22,7
115,3,32,0,2,101,0
115,3,34,0,2,65,0
116,3,32,0,16,101,0
116,4,55,0,16,23,1
