Uni,Major,block,score
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học CMC,Ngôn ngữ Nhật,D01,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,D01,0.00000 (d)
Học viện Chính sách và Phát triển,Kinh tế quốc tế,D01,0.00000 (d)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00,0.37689 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.01462 (c)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điện,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),A00,0.37689 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.01462 (c)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Điện,A00,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A01,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A01,0.08800 (c)
Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,0.00000 (d)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.00000 (d)
Học viện Thiết kế và Thời trang London,Thiết kế thời trang,XHB,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.00000 (d)
Học viện Ngoại giao,Ngôn ngữ Anh,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Đại học Bách khoa Hà Nội,Tiếng Anh KHKT và Công nghệ,D01,0.00000 (d)
Học viện Nông nghiệp Việt Nam,Công nghệ kỹ thuật môi trường,D01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,1.41421 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.41421 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,D01,1.41421 (d)
Đại học Bách khoa Hà Nội,Cơ điện tử - hợp tác với ĐH Leibniz Hannover (Đức),A00,0.00000 (d)
Đại học Khoa học Xã hội và Nhân văn - ĐHQG HN,Báo chí,A01,1.00000 (d)
Học viện Khoa học Quân sự,Ngôn ngữ Anh,D01,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,1.00000 (d)
Học viện An ninh nhân dân,Y khoa,B00,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A00,0.49092 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.16214 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Khoa học máy tính,A00,0.07801 (c)
Đại học Công nghiệp Việt Hung,Công nghệ thông tin,A00,0.07801 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.06451 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Học viện Báo chí và Tuyên truyền,Ngôn ngữ Anh,D01,0.41833 (c)
Đại học CMC,Ngôn ngữ Nhật,D01,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ điện tử - hợp tác với ĐHCN Nagaoka (Nhật Bản),A01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.00000 (d)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,D01,0.00000 (d)
Học viện An ninh nhân dân,Y khoa,A01,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.06043 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.04217 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.02367 (c)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.37689 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.02204 (c)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.00000 (d)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,C00,0.00000 (d)
Đại học Bách khoa Hà Nội,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),A00,0.37689 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.02204 (c)
Học viện An ninh nhân dân,Y khoa,B00,0.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Nhật),A00,0.00000 (d)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,C00,0.00000 (d)
Đại học Bách khoa Hà Nội,Kỹ thuật Hàng không,A00,0.00000 (d)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,A01,0.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,1.00000 (d)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A00,0.49092 (c)
Học viện Chính sách và Phát triển,Luật Kinh tế,A00,0.16249 (c)
Đại học Bách khoa Hà Nội,Công nghệ thông tin (Việt - Pháp),A00,0.10713 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A00,0.10679 (c)
Đại học Công nghệ - Đại học Quốc gia Hà Nội,Kỹ thuật máy tính,A00,0.08800 (c)
Học viện An ninh nhân dân,Y khoa,A01,0.13484 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,A01,0.06043 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.04217 (c)
Đại học Bách khoa Hà Nội,Hệ thống thông tin quản lý,A01,0.02367 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,A01,0.49092 (c)
Đại học Kinh doanh và Công nghệ Hà Nội,Răng - Hàm - Mặt,D07,0.30852 (c)
Đại học Công nghiệp Việt Hung,Tài chính - Ngân hàng,D07,0.12995 (c)
Đại học Bách khoa Hà Nội,CNTT: Khoa học máy tính,D07,0.10713 (c)
Đại học Bách khoa Hà Nội,CNTT: Kỹ thuật Máy tính,D07,0.06451 (c)
Đại học Bách khoa Hà Nội,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),D07,0.02204 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,A00,0.17408 (c)
Đại học Công nghệ và Quản lý Hữu Nghị,Logistic và quản lý chuỗi cung ứng,C00,0.21061 (c)
Đại học Công nghệ Đông Á,Quản trị khách sạn,C00,0.07347 (c)
Học viện Công nghệ Bưu chính Viễn thông,Marketing,C00,0.03342 (c)
Đại học Ngoại thương (Cơ sở Hà Nội),Quản trị kinh doanh,C00,0.00939 (c)
Học viện Ngân hàng,Kinh doanh quốc tế,A00,0.15328 (c)
Đại học Công nghiệp Việt Hung,Quản trị kinh doanh,A00,0.00939 (c)
